Image,Method,Entropy (raw),PSNR (raw),SSIM (raw),Contrast (raw),Entropy (norm),PSNR (norm),SSIM (norm),Contrast (norm),Composite Score,Is Best
1,histogram_equalization,7.634418570854208,9.447212332969654,0.2687140499915088,65.13364755437433,1.0,0.0,0.0,1.0,0.5,True
1,clahe,6.582051703680829,21.011652024771834,0.6881614947996818,34.257499181125354,0.5376292170872748,0.3941477489491942,0.6297128812356344,0.21996794403211822,0.44536444782605544,False
1,gamma_correction,5.870799178839363,27.904435546166603,0.9035089428236892,30.626027721057262,0.22513136389762203,0.6290726723657363,0.9530121732934422,0.12822514907781582,0.4838603396586541,False
1,bilateral_filter,5.358394855549475,38.787579549662404,0.9348072129344763,25.55046871316999,0.0,1.0,1.0,0.0,0.5,False
2,histogram_equalization,7.839818048866313,16.86868254148605,0.7514642603410947,74.77234431876983,1.0,0.0,0.0,1.0,0.5,False
2,clahe,7.746095847513807,19.671785398444733,0.8447757045642638,60.71355855009534,0.8758712237195985,0.22061588345553143,0.3986412956810664,0.5949161533924013,0.5225111390621494,True
2,gamma_correction,7.21670461549501,24.803778162100837,0.9855379632768363,42.027190769972144,0.1747280062559968,0.6245251137681861,1.0,0.05649513581327888,0.46393706395936546,False
2,bilateral_filter,7.084777967420642,29.574489635034205,0.8351744297734705,40.06647814708535,0.0,1.0,0.35762312631656895,0.0,0.33940578157914225,False
